name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
مصر,2025-03-04T00:00:00,15.0,15.0,12.0,82.26,0.0,0.0,,0,0,19.8,14.8,40.0,1012.0,88.0,10.0,0.0,0.0,0,10,Partially cloudy,partly-cloudy-night,HECA
مصر,2025-03-04T01:00:00,15.0,15.0,11.0,76.99,0.0,0.0,,0,0,17.6,7.6,360.0,1011.0,25.0,8.0,0.0,0.0,0,10,Partially cloudy,partly-cloudy-night,HECA
مصر,2025-03-04T02:00:00,14.0,14.0,11.0,82.13,0.0,0.0,,0,0,16.9,9.4,10.0,1011.0,50.0,8.0,0.0,0.0,0,10,Partially cloudy,partly-cloudy-night,HECA
مصر,2025-03-04T03:00:00,14.0,14.0,11.0,82.13,0.0,0.0,,0,0,17.3,9.4,10.0,1011.0,31.9,6.0,0.0,0.0,0,10,Partially cloudy,partly-cloudy-night,HECA
مصر,2025-03-04T04:00:00,14.0,14.0,11.0,82.13,0.0,0.0,,0,0,15.5,7.6,20.0,1011.0,56.2,6.0,0.0,0.0,0,10,Partially cloudy,partly-cloudy-night,HECA
مصر,2025-03-04T05:00:00,14.0,14.0,11.0,82.13,0.0,0.0,,0,0,13.7,3.6,50.0,1011.0,64.7,10.0,0.0,0.0,0,10,Partially cloudy,partly-cloudy-night,HECA
مصر,2025-03-04T06:00:00,13.0,13.0,10.0,82.0,0.0,0.0,,0,0,13.3,5.4,80.0,1011.0,50.0,10.0,0.0,0.0,0,10,Partially cloudy,partly-cloudy-night,HECA
مصر,2025-03-04T07:00:00,13.0,13.0,11.0,87.65,0.0,0.0,,0,0,12.6,5.4,80.0,1011.0,50.0,10.0,20.0,0.1,0,10,Partially cloudy,partly-cloudy-day,HECA
مصر,2025-03-04T08:00:00,15.0,15.0,11.0,76.99,0.0,0.0,,0,0,15.8,5.4,60.0,1011.0,91.2,10.0,158.0,0.6,2,10,Overcast,cloudy,HECA
مصر,2025-03-04T09:00:00,17.0,17.0,10.0,63.39,0.0,0.0,,0,0,20.5,14.8,40.0,1011.0,50.0,10.0,359.0,1.3,4,10,Partially cloudy,partly-cloudy-day,HECA
مصر,2025-03-04T10:00:00,18.0,18.0,8.0,52.0,0.0,0.0,,0,0,23.0,18.4,50.0,1011.0,50.0,10.0,536.0,1.9,5,3,Partially cloudy,partly-cloudy-day,HECA
